City,State,Sale Amount,Sale Date
Jasonview,Tennessee,4589.35,2024-05-19
Lake Susan,Illinois,4391.44,2024-05-04
North Jose,New Mexico,1702.69,2024-04-04
New Richard,Louisiana,3303.06,2024-10-28
Dawnfurt,Alaska,3162.16,2024-02-25
Dominiquemouth,Georgia,1018.34,2024-07-09
Castilloburgh,Indiana,3883.8,2024-11-07
Lake Erik,West Virginia,2835.08,2024-03-16
West Fernando,Massachusetts,3959.54,2024-08-27
Debratown,Georgia,2792.66,2024-09-14
Carlsonfurt,Kentucky,302.69,2024-10-31
New Stacystad,Oklahoma,1823.53,2024-06-28
Melissaborough,Michigan,391.54,2024-09-15
Kennethfort,Oregon,4666.76,2024-10-02
Coxfurt,New Hampshire,4429.99,2023-12-30
Beardville,North Dakota,4208.83,2024-08-18
East Joshua,Pennsylvania,1745.32,2024-01-14
North Huntertown,Hawaii,572.25,2024-10-15
East Melissafurt,Colorado,4426.65,2024-06-30
Martinborough,Maryland,4750.66,2024-07-04
Guerreromouth,Michigan,702.57,2024-01-15
New Austin,Tennessee,2584.16,2024-09-10
Pittsshire,South Dakota,625.3,2024-03-14
Lake Jason,West Virginia,3874.83,2023-12-20
East Frank,Colorado,3899.42,2024-10-28
New Davidburgh,Nevada,903.44,2024-10-25
Bobbyview,Maine,2533.83,2024-11-12
Kimberlymouth,Missouri,2884.08,2024-04-25
West Carolville,Colorado,1545.77,2023-12-08
Ariastown,Oregon,4400.44,2024-03-27
Nguyenstad,Tennessee,2288.75,2024-06-15
East Scott,California,1295.45,2024-06-06
South Danielside,Colorado,2834.69,2024-08-11
Higginsburgh,Nebraska,3730.68,2024-02-01
Sheilahaven,North Carolina,1245.41,2024-01-10
Longmouth,Montana,1765.07,2023-12-29
Emilyburgh,Kansas,4977.2,2024-04-19
New John,Oklahoma,3354.43,2024-07-27
Port Brian,Connecticut,2359.07,2024-01-02
Donnastad,Michigan,2732.61,2024-09-29
Port Amberfort,Alaska,868.72,2024-03-17
Williamsland,Illinois,1356.08,2024-04-06
East Sandra,Arkansas,1889.0,2024-04-08
Princemouth,Pennsylvania,3065.05,2024-03-21
Port Danielle,Colorado,1381.54,2024-09-18
West Debra,New Jersey,1335.02,2024-08-01
Bryanfurt,Arizona,633.67,2024-01-07
North Cassandramouth,Maine,3266.18,2024-04-06
North Christineland,Texas,1376.03,2023-12-23
North Scott,Oregon,4555.47,2024-05-19
Amberstad,Alaska,4340.29,2024-11-21
North Richardmouth,New Jersey,633.03,2024-11-21
Westberg,Illinois,1418.62,2024-07-29
Dixonburgh,Vermont,3444.2,2024-01-21
Port David,Idaho,1306.91,2024-06-22
Martinville,South Dakota,921.87,2024-10-12
East Josephton,Arkansas,4696.92,2024-03-26
Lake Robert,Arkansas,2983.9,2023-12-20
North Tinabury,Alaska,2521.55,2024-09-27
South Codyside,Missouri,3987.71,2024-01-24
Patrickchester,Connecticut,4095.24,2024-02-19
New Danielleville,Wyoming,1194.93,2024-06-21
Kimberlychester,Minnesota,755.57,2024-10-05
East Katherine,Idaho,2325.94,2023-12-19
North Elizabethport,Tennessee,2290.82,2024-05-11
Virginiashire,Oregon,2495.02,2023-12-20
Leonardfurt,Maine,3726.66,2024-01-08
Rodriguezbury,North Dakota,3464.81,2024-08-17
Mendozaberg,Florida,4925.58,2024-05-13
Michelleville,Maryland,762.56,2023-11-29
New Dianamouth,Oklahoma,2192.32,2024-06-20
Patriciaton,Missouri,1894.72,2024-05-20
Jasonton,Montana,4349.86,2024-06-06
South Toddbury,Wyoming,1468.68,2024-08-10
Rodriguezborough,Delaware,1193.98,2024-06-27
Vasquezfort,Kansas,2408.48,2024-10-27
South Richard,Connecticut,2282.84,2024-11-01
Mclaughlinview,Alabama,1609.16,2024-04-29
West Crystalfurt,Florida,1474.09,2024-08-16
Ebonyside,Utah,4639.35,2024-10-19
Davidberg,Montana,2382.71,2024-11-15
Nicolasbury,Hawaii,4348.34,2023-12-17
North Carolynhaven,Florida,2886.53,2024-05-03
Johnfort,Wyoming,537.77,2024-07-17
Hernandezchester,Hawaii,4996.63,2024-10-03
Kellyland,New York,4229.33,2024-04-09
Lake Steven,North Carolina,4854.28,2024-09-25
Lake Christophermouth,Arkansas,4653.92,2024-08-06
Staceyville,West Virginia,4288.87,2024-03-11
Hendersonborough,New Hampshire,1081.66,2024-08-21
Kevinton,Arkansas,2582.51,2023-12-11
Lake Darrell,Mississippi,1304.61,2024-08-25
Buckleyport,Nebraska,2184.89,2024-08-07
Lake Angela,Oklahoma,575.59,2024-06-29
Leahport,North Dakota,2081.17,2024-08-25
New Craig,Wisconsin,4930.95,2024-10-17
Lake Jerome,Indiana,1546.45,2024-11-14
Cartermouth,Indiana,3985.13,2023-12-11
West Morgan,Nebraska,2438.54,2024-06-10
Port Karen,Washington,2288.14,2024-04-23
Brownbury,Wyoming,4799.39,2023-12-05
Davidville,Colorado,4978.49,2024-03-28
North Randyburgh,Hawaii,2912.11,2024-11-09
Jasminemouth,North Carolina,3676.52,2023-12-22
North Helen,Washington,1027.55,2024-09-16
Vazquezborough,Ohio,1694.53,2024-08-07
South Lisafort,Florida,4852.93,2023-12-30
Jonesport,Michigan,3022.15,2024-07-20
Fernandezside,Georgia,2848.32,2023-12-16
Port Kevin,Wisconsin,3815.49,2024-01-01
North Brianberg,Colorado,568.68,2024-09-19
Krausebury,Nevada,3045.63,2024-07-17
Lake Kari,Vermont,2663.4,2023-12-30
Lake Kristina,Rhode Island,4307.78,2024-01-29
Lake Vincentport,Pennsylvania,1039.93,2024-02-11
North Peter,North Carolina,4815.66,2024-06-08
New Johnton,Nebraska,676.52,2024-01-31
Lake Darren,Wisconsin,1173.38,2024-06-02
South Melissa,Wyoming,3096.67,2024-06-02
Johnsonside,California,3473.5,2024-06-11
Thomashaven,Mississippi,1405.46,2024-10-27
Petersfurt,Oregon,863.47,2023-11-30
South Benjamin,Oklahoma,4484.35,2024-01-25
Heatherfort,Oklahoma,1457.21,2024-03-19
Aguilarberg,Wyoming,3094.24,2024-07-02
Schmidtbury,New Jersey,3211.09,2023-12-22
South Scottton,Oregon,2270.36,2024-11-12
Cantrellville,New Hampshire,3043.26,2024-03-09
West Nicholasberg,Washington,2757.08,2024-10-23
North Ericfort,Virginia,4693.12,2024-02-20
East Laura,Wyoming,1260.02,2024-07-03
Martinezville,New Jersey,3666.1,2023-12-10
New Derek,Missouri,1421.82,2024-03-08
South Sarah,North Dakota,2160.19,2024-02-26
Popefurt,Vermont,3456.94,2024-04-13
New Sandra,Oklahoma,1709.99,2024-08-15
Lake Sharonland,Washington,1786.03,2024-01-24
Watkinsmouth,Wyoming,3833.76,2024-03-13
East Ericbury,Vermont,640.95,2024-02-28
North Michael,Rhode Island,2453.94,2024-01-21
Port John,Connecticut,4992.74,2024-04-02
Port Michael,Pennsylvania,4981.65,2024-07-07
Rebeccaburgh,Montana,644.33,2024-07-06
Lake Austin,Wisconsin,1301.83,2024-05-30
Lisaton,Pennsylvania,1546.44,2023-12-26
Tamarastad,Tennessee,4686.32,2024-10-06
Lake Ericbury,Wisconsin,4440.06,2024-05-16
South Gabrielle,Utah,4432.57,2024-07-25
Port Lauriestad,West Virginia,2036.78,2024-02-18
East David,Kentucky,1041.41,2024-02-23
West Timothy,Oklahoma,4218.6,2024-04-28
Scottberg,Indiana,3606.64,2024-06-08
Lake Anneland,Maine,3174.89,2024-07-09
Hartside,Montana,4940.0,2024-07-12
Andersonchester,Nebraska,3373.69,2024-09-09
Valeriemouth,Maryland,336.77,2024-07-16
Ellisonside,Wisconsin,4140.39,2024-06-01
Lake Christopher,Washington,1707.08,2024-07-13
East Michael,Iowa,3417.93,2024-08-29
New Chadburgh,West Virginia,4712.97,2024-05-09
Lake Tracie,New Mexico,931.17,2024-11-06
East Stephen,West Virginia,842.51,2024-05-04
East Brandonland,Florida,803.07,2024-05-03
Lake Raymond,Louisiana,2900.15,2024-06-19
South Allisonmouth,Illinois,1580.04,2024-07-29
East Pamelastad,New Mexico,3142.7,2024-05-16
Fishermouth,New Mexico,3672.78,2024-08-19
Port Annaburgh,Kentucky,1256.91,2024-05-11
Hermanfurt,Tennessee,3280.92,2024-03-06
Roberthaven,Maryland,1540.72,2024-01-26
Lake Cameron,Michigan,2596.1,2024-11-18
Kennethtown,New Jersey,4555.08,2024-04-18
Cookborough,South Dakota,4276.69,2024-07-11
Robertsfort,New Hampshire,733.8,2024-09-10
East Edward,Florida,2290.81,2023-12-23
Russellfort,Texas,1600.4,2024-10-05
South Christineview,Wyoming,316.66,2023-11-27
South Rachel,Delaware,3924.26,2023-12-12
Sylviamouth,North Dakota,3294.43,2024-02-09
Michellechester,Wyoming,1531.19,2024-09-25
New Janetmouth,Indiana,3783.79,2024-09-30
Port Normanton,Montana,2892.9,2023-12-28
Stacyport,Missouri,2310.13,2024-10-04
New Tracytown,New Jersey,345.45,2024-10-11
South Rodney,Maryland,653.65,2024-10-18
East Marcusshire,Indiana,4450.6,2024-05-11
West Amy,North Dakota,4548.46,2024-08-01
Abigailberg,Idaho,2864.27,2024-05-17
Lake Kathryn,Michigan,4222.6,2023-12-05
Port Austinview,Arkansas,3037.79,2024-03-16
Robertmouth,Connecticut,996.04,2024-03-25
North Dylanhaven,Arkansas,898.99,2024-02-26
South Vincentton,Idaho,1748.81,2024-05-11
Seanville,Nebraska,4525.21,2024-01-04
North Michaeltown,Wisconsin,4041.77,2024-06-02
Goodberg,Washington,4345.3,2024-09-21
Steveshire,Arkansas,4524.95,2024-09-19
Dustinshire,Florida,1287.36,2024-04-03
Ruizburgh,Maine,1472.79,2024-01-05
Port Lawrence,North Dakota,783.13,2024-01-20
Walkerborough,Michigan,3966.55,2023-12-17
Johnstad,Vermont,4455.43,2024-09-26
Pittsport,Wyoming,2209.97,2024-01-23
Lake Catherineside,Hawaii,3217.11,2023-12-05
Espinozashire,Massachusetts,1026.4,2024-11-08
Willismouth,Louisiana,4670.44,2024-08-28
Port Heathermouth,Rhode Island,4363.65,2024-09-05
New Kimberlymouth,New York,4888.17,2023-12-02
Port Joseph,Michigan,4110.63,2024-02-07
Hannahfort,Illinois,4442.66,2024-04-27
North Matthew,Virginia,416.5,2024-09-21
Debrahaven,Idaho,3761.85,2024-01-07
Holmesport,Kansas,1861.27,2023-12-17
Portershire,Vermont,4674.83,2024-02-13
Garciaside,Iowa,4070.51,2024-07-31
Johnsonshire,Rhode Island,4361.1,2023-12-27
Andrewhaven,Ohio,4110.52,2023-12-01
Jesusborough,Massachusetts,1553.99,2024-05-16
Mallorytown,Alaska,4000.66,2024-10-19
Mooreville,Oklahoma,808.05,2024-01-12
North Timothyfort,Arkansas,4399.18,2024-06-06
East Elizabeth,Georgia,4335.39,2024-10-16
Bradfordton,Mississippi,1345.44,2024-01-20
Suttonside,Pennsylvania,4137.96,2024-04-12
New Erikborough,North Carolina,2463.43,2024-09-17
Brianside,Arizona,1734.4,2024-09-26
New Ashleymouth,North Dakota,4038.12,2024-04-06
Angelaport,Washington,1369.7,2024-10-13
Bradleyburgh,Tennessee,411.22,2024-06-11
Laraview,Massachusetts,1207.71,2024-08-23
Davismouth,Mississippi,1842.83,2023-12-21
Williamsmouth,Utah,4362.46,2024-10-04
North Tiffany,Nevada,4844.38,2024-06-30
Annafort,Kentucky,1611.89,2024-04-22
Garciachester,North Dakota,3314.96,2024-06-19
Everettshire,Kentucky,2178.49,2023-11-29
Ernestfort,Oregon,4911.4,2024-03-23
East Brandon,Maryland,2820.21,2024-09-28
Lake Karenmouth,Connecticut,4714.41,2024-10-19
New John,Kentucky,842.11,2024-03-03
Garciahaven,South Carolina,4860.88,2024-05-21
Arnoldtown,South Carolina,1139.27,2024-10-03
Ianhaven,Louisiana,4823.91,2024-08-19
South Stacy,Nevada,1547.69,2024-03-04
Schaeferburgh,Arkansas,809.49,2024-11-18
Hartchester,Virginia,2342.45,2024-07-15
Josephtown,Louisiana,3724.16,2024-02-20
Alanport,Arizona,1774.28,2023-12-18
South Anita,Wisconsin,3149.18,2024-04-14
Madisonstad,Wisconsin,2703.69,2024-09-23
Port Ryan,Georgia,2110.42,2024-03-09
East Brian,South Dakota,3009.96,2024-06-18
Port Alexisshire,New York,1497.2,2023-12-14
North Ronald,South Carolina,3631.29,2024-07-12
East Dominiqueburgh,Wyoming,307.95,2024-07-27
East Misty,Louisiana,4650.2,2024-09-21
Jenniferstad,Pennsylvania,2830.72,2024-03-27
Carlsonport,Utah,3681.32,2024-09-11
Lorishire,Iowa,3787.17,2024-04-05
West Nancy,Hawaii,3451.95,2024-05-22
Sylviaport,Maryland,2011.84,2024-08-19
South Amy,Arkansas,628.88,2024-02-29
Kevinfurt,South Carolina,3421.92,2024-08-23
Karinashire,Connecticut,1851.94,2024-07-28
East Amanda,North Dakota,1775.4,2024-10-31
Lake Jamie,Arkansas,4285.67,2024-09-28
West David,Missouri,3682.85,2024-10-25
Teresamouth,South Carolina,1711.51,2024-03-11
Michaeltown,Washington,1753.64,2024-02-21
Jacobside,Rhode Island,2219.45,2024-06-13
Carlashire,Minnesota,2191.28,2024-09-04
East Cheryl,Rhode Island,1689.58,2024-10-07
South Carolstad,Massachusetts,898.25,2023-12-07
Barrtown,Florida,2276.1,2024-01-18
North Janefort,Montana,4719.71,2024-07-20
Port Ashleyland,Montana,3483.39,2023-12-08
East Brooke,Missouri,4543.19,2024-01-18
Isaacshire,California,3192.92,2024-01-23
North Raymondchester,Wyoming,1714.46,2024-03-20
Farmerborough,Oregon,2875.3,2024-04-13
Bettyside,Pennsylvania,301.91,2024-03-02
Stephenburgh,New Jersey,1648.49,2023-12-18
Davidland,Utah,2320.47,2024-11-04
Derekville,Wyoming,3025.93,2024-01-24
South Isaiah,West Virginia,3377.12,2024-09-17
Port Nancymouth,Michigan,2485.44,2024-07-03
West Joann,Texas,2378.15,2024-10-17
Johnsonburgh,Ohio,1304.4,2024-08-03
Port Michaelside,Montana,2523.98,2024-04-06
Elizabethmouth,Wisconsin,4535.55,2024-05-05
West Marissaborough,Georgia,4041.32,2024-09-16
New Jacquelinebury,North Dakota,1097.55,2024-09-10
Shelleyberg,Utah,698.54,2024-02-02
North Brandontown,Arizona,2722.62,2024-03-26
Deanport,Montana,3274.82,2024-07-09
Jeremymouth,South Carolina,1875.38,2024-07-07
East Victoria,Washington,4146.59,2024-03-14
Jordanfurt,Maryland,3830.35,2024-01-17
South Hollyburgh,Michigan,3462.14,2024-05-28
West Amanda,Washington,1355.81,2024-09-15
Lake Joshua,Mississippi,1235.91,2024-08-30
New Sylviachester,Arkansas,414.8,2023-12-03
Markbury,California,1450.76,2024-05-04
Jonesstad,Tennessee,2533.14,2024-03-18
Turnerfort,Illinois,4293.77,2024-09-27
Danielfort,Mississippi,642.29,2023-12-21
Davisport,Utah,2247.87,2024-05-04
North Douglas,Michigan,3259.9,2024-09-19
Jenniferstad,Missouri,1213.85,2024-05-30
Longtown,North Carolina,3572.86,2023-11-30
North Jenniferland,New Jersey,2623.57,2024-03-19
New Ashleyton,Missouri,1446.73,2024-06-18
Port Bobbystad,Nevada,3383.47,2024-07-11
Smithbury,Kentucky,326.06,2024-05-13
Taylorhaven,West Virginia,3829.53,2024-10-27
Smithfort,Nebraska,3919.22,2024-08-18
Martinezton,New Jersey,800.96,2024-11-05
New Meganport,Indiana,2298.19,2024-05-03
Longville,South Carolina,1126.67,2024-07-20
Kellyport,Nevada,4802.44,2024-04-12
New Glennbury,Kentucky,2734.4,2024-11-17
New Soniachester,Connecticut,536.03,2024-01-19
Jamesmouth,New Jersey,1471.23,2024-03-31
Kendrafurt,Kansas,4287.18,2024-08-05
Kevinside,Kansas,2445.37,2024-08-01
Jilltown,Hawaii,4066.66,2024-11-18
New William,Kentucky,3437.62,2024-02-17
East Mary,California,4943.09,2024-06-03
North Tanyaside,Minnesota,3098.63,2024-02-11
Lake Lisa,Montana,4765.19,2024-05-11
Cohenbury,Illinois,4489.7,2024-02-20
Ryantown,Mississippi,3179.47,2024-06-01
New Ashleymouth,Iowa,3680.59,2024-07-18
Bergmouth,Iowa,2672.46,2024-01-20
West Joannaville,Georgia,4203.68,2024-09-06
Roseshire,Nevada,2875.0,2024-10-13
Taylorside,Kansas,4516.88,2024-06-26
New Markburgh,Iowa,3795.18,2024-04-12
Rubenberg,Alabama,2530.97,2024-11-05
Maryton,Wyoming,1518.2,2023-12-22
Rebeccashire,Rhode Island,1462.03,2024-05-14
West Paulabury,Oregon,3297.01,2024-06-17
Riveraburgh,North Dakota,3899.32,2024-11-03
Port Brian,California,2750.11,2024-08-21
Patrickmouth,Idaho,3245.72,2023-12-31
South Samuel,Florida,1590.61,2023-12-22
Williamstown,New Mexico,664.17,2024-10-04
Jamesmouth,Indiana,1642.92,2024-05-27
Lake Brent,Wyoming,1577.06,2024-11-12
North Karenstad,Kansas,1802.63,2024-10-07
Lake Mark,Connecticut,2838.72,2024-07-28
Gilmorechester,Michigan,950.36,2024-01-16
South Jonathanshire,South Carolina,1386.93,2024-02-20
Lake Eric,Alabama,3561.56,2024-04-22
Grahammouth,Oklahoma,3620.17,2024-03-07
Joshuaburgh,Missouri,601.88,2024-06-22
New Jerry,Delaware,2215.72,2024-06-22
North Ricky,Indiana,2850.27,2024-05-13
Port Angela,Washington,2254.14,2024-06-30
Lake Chloechester,North Dakota,1272.12,2024-11-13
New Josephbury,Texas,2274.67,2024-11-02
South Ambermouth,Colorado,4552.74,2023-12-13
Carrton,Maine,3045.17,2024-09-22
Petersbury,Louisiana,3568.96,2024-01-23
West Brittanyfurt,Illinois,4326.64,2024-01-01
South Kevin,Arizona,3898.29,2024-08-11
North Colinchester,Pennsylvania,2087.79,2024-06-03
West Kenneth,Hawaii,327.71,2024-11-01
North Alexandraburgh,Rhode Island,1953.27,2024-01-10
New David,New Mexico,3841.33,2024-01-12
Lake Carlbury,Washington,4311.21,2024-06-15
Christytown,New York,4781.12,2024-04-30
Youngport,Pennsylvania,2269.4,2024-04-07
Hardychester,Vermont,3813.32,2024-09-08
Port Anthony,North Dakota,2866.82,2024-04-27
Hansonchester,Wisconsin,3135.29,2024-11-08
Martinstad,West Virginia,1336.53,2024-11-05
Jacksonland,Tennessee,1331.28,2024-11-18
New Larryville,Colorado,2348.43,2024-04-05
North Michelleburgh,West Virginia,436.42,2024-09-05
Pollardtown,Indiana,1879.81,2024-10-07
Hernandezchester,Kansas,3491.97,2024-07-21
South Johnland,South Carolina,2200.29,2024-08-04
Youngport,New Jersey,1075.71,2024-07-22
Dawnbury,California,2496.73,2024-09-24
East Thomasbury,Wyoming,899.85,2024-05-05
Port Juliebury,Nevada,3224.61,2024-05-26
Port Cynthia,North Dakota,426.74,2024-06-14
North Sarahport,Utah,2151.9,2024-07-09
Marshallland,North Carolina,2952.64,2024-04-07
South Hollymouth,Minnesota,427.38,2024-01-02
South Josephshire,Kentucky,3320.92,2024-02-01
North Robertchester,Nebraska,937.79,2023-12-19
Williamsshire,South Carolina,2469.98,2024-09-03
North Jennifer,New Hampshire,536.34,2023-12-23
New Jacobfort,Oregon,2081.79,2024-05-05
Griffinmouth,Virginia,1294.8,2024-02-10
West Regina,New Jersey,1836.18,2024-05-14
North Kellyland,Kentucky,3877.78,2024-05-22
Johnmouth,Colorado,2081.89,2024-06-12
North Nicholasberg,Washington,3834.45,2023-12-14
Byrdmouth,Nebraska,4210.04,2024-06-02
Daltonborough,Nevada,1485.68,2024-08-04
Lake Frank,Kentucky,684.96,2024-05-30
Perkinsside,Delaware,391.1,2024-07-08
Lindsayfort,Arizona,2835.27,2024-09-12
New Jamesbury,Maine,4999.57,2023-12-28
New Amandatown,Montana,1944.81,2024-04-02
Port Jamiefurt,New York,3355.68,2024-06-08
Lake Makaylastad,Wyoming,3971.8,2024-06-18
Franciscoborough,Michigan,3363.25,2024-06-19
Lanefurt,Oklahoma,3844.9,2024-07-25
East Tammy,Oklahoma,4763.18,2024-04-22
West Jasminemouth,Delaware,1237.0,2023-11-28
Cameronshire,Alaska,395.79,2024-02-11
Nguyenmouth,Florida,1016.2,2024-04-08
New Michaelhaven,Texas,893.24,2024-10-18
North Lisaland,Oklahoma,3446.46,2024-09-19
West Jamesstad,Massachusetts,2950.66,2024-06-16
Richardtown,Arkansas,1324.43,2024-07-30
Robintown,California,3587.49,2024-01-04
Ronaldhaven,Rhode Island,3904.42,2024-10-06
Cherylview,New Jersey,1088.61,2024-08-30
East Tiffanyberg,Iowa,3154.06,2024-06-28
Aguilarside,Michigan,3815.25,2023-11-30
Brianport,New Hampshire,838.3,2024-07-20
Trevorport,Colorado,4150.72,2024-11-07
Kellerfort,Maine,4834.19,2024-08-09
South Tammyshire,Missouri,808.06,2024-02-23
East Valerie,Virginia,420.69,2024-03-31
Lake Raymondton,Kansas,1766.2,2023-12-10
Andersonmouth,Washington,3483.53,2024-10-11
Lake Lisaside,Mississippi,4803.41,2024-11-02
North Adam,Arizona,2164.28,2023-12-19
Lake Rebecca,Wisconsin,3660.57,2024-11-05
Annaberg,Kansas,657.18,2024-05-09
Brendaburgh,Rhode Island,3545.89,2024-03-16
Timothyburgh,Virginia,3248.04,2024-07-30
South Scottburgh,Massachusetts,778.94,2024-09-28
West Catherinefort,Oklahoma,3930.66,2024-03-16
Bellchester,Mississippi,4296.38,2024-07-18
North Racheltown,Oregon,3121.93,2024-05-03
New Amy,West Virginia,868.96,2024-04-21
East Nicholas,Colorado,4924.07,2024-04-11
Villegasfort,Alaska,3978.39,2024-05-30
New Michaelborough,Alaska,1931.86,2024-06-05
South Cindy,Alaska,2313.38,2024-11-06
Woodardview,Washington,2041.68,2024-01-15
Dianeport,Utah,2678.02,2024-09-03
Rangelland,Maryland,1903.79,2024-05-06
Clarkmouth,Alabama,4293.01,2024-02-06
Ortizland,Kansas,4164.96,2024-10-05
South Kimberlyside,Alaska,796.03,2024-05-29
Lake Nataliemouth,Missouri,4815.7,2024-10-24
North Lorimouth,Texas,3287.25,2024-07-13
East Johnmouth,New Mexico,4194.92,2024-03-17
North Tyler,New Mexico,3624.35,2024-08-27
New Malikport,Washington,2346.79,2024-05-15
Lake Kimberlyborough,Arkansas,3748.84,2024-05-14
Weeksview,Wyoming,4837.73,2024-01-07
South Martin,Rhode Island,1569.39,2024-10-03
North Kristin,Delaware,4098.54,2024-11-18
